200,954,2567,200,200,
1467,200,200,200,200,
1135,200,200,200,200,
1540,200,200,200,200,
200,200,2109,200,200,
1044,1597,1925,1253,200,
200,200,200,1268,200,
1569,200,200,200,1062,
200,1332,200,200,200,
1832,200,200,200,200,
200,200,200,200,200,
200,2377,200,200,200,
200,200,200,200,2296,
200,200,200,1091,200,
200,200,2433,2651,200,
200,200,200,200,200,
2335,200,786,1183,2243,
200,1558,841,2557,200,
200,1104,649,200,200,
200,2883,200,2960,200,
200,200,2266,200,200,
2978,1288,200,605,200,
2560,200,200,2924,200,
200,1793,200,200,200,
2133,200,523,200,200,
200,1035,200,1719,200,
2637,200,703,200,1178,
200,1431,200,200,200,
2132,854,200,200,200,
2886,200,2206,200,200,
200,200,200,200,1485,
2039,200,1213,200,200,
200,762,200,200,200,
200,200,200,200,2241,
2674,200,200,200,597,
1697,200,1954,200,200,
656,200,2095,200,1999,
200,2615,1559,200,200,
783,200,200,1772,200,
200,200,200,1740,200,
200,200,200,2397,2416,
200,200,200,200,2544,
200,200,200,1252,200,
200,200,200,2659,200,
200,1702,2804,200,200,
1911,200,200,1381,1019,
200,200,200,680,200,
200,200,2168,200,200,
200,1637,200,200,200,
200,200,200,787,200,
200,2502,1883,200,200,
200,200,200,200,2895,
200,200,2412,200,2618,
200,1243,200,2836,200,
200,200,200,200,200,
2144,1640,200,1390,200,
200,200,755,200,2525,
200,200,200,522,200,
200,200,200,200,1825,
200,2232,1225,200,611,
200,200,200,200,200,
200,2281,200,200,200,
200,1148,200,2743,200,
200,1311,874,2370,1640,
200,200,200,701,2436,
200,200,200,200,200,
1958,200,2973,200,1266,
200,200,2308,200,1657,
200,1998,200,200,200,
200,200,2730,2287,2841,
200,618,2905,200,556,
200,2973,200,200,200,
1088,2249,200,200,200,
200,200,1363,1548,200,
200,1746,200,200,1657,
200,200,200,2057,200,
975,2801,2370,200,2187,
200,200,200,2517,200,
200,200,200,1087,200,
200,2335,200,200,1860,
