1969,1969,1969,1969,1969,
1489,1489,1489,1489,1489,
1872,1872,1872,1872,1872,
1933,1933,1933,1933,1933,
1389,1389,1389,1389,1389,
1812,1812,1812,1812,1812,
4095,4095,4095,4095,4095,
1040,1040,1040,1040,1040,
920,920,920,920,920,
895,895,895,895,895,
1518,1518,1518,1518,1518,
575,575,575,575,575,
1631,1631,1631,1631,1631,
1472,1472,1472,1472,1472,
1412,1412,1412,1412,1412,
725,725,725,725,725,
533,533,533,533,533,
957,957,957,957,957,
547,547,547,547,547,
4095,4095,4095,4095,4095,
1227,1227,1227,1227,1227,
1512,1512,1512,1512,1512,
1347,1347,1347,1347,1347,
1244,1244,1244,1244,1244,
1436,1436,1436,1436,1436,
4095,4095,4095,4095,4095,
1149,1149,1149,1149,1149,
1852,1852,1852,1852,1852,
1267,1267,1267,1267,1267,
1230,1230,1230,1230,1230,
1759,1759,1759,1759,1759,
1902,1902,1902,1902,1902,
1235,1235,1235,1235,1235,
975,975,975,975,975,
1975,1975,1975,1975,1975,
4095,4095,4095,4095,4095,
4095,4095,4095,4095,4095,
1839,1839,1839,1839,1839,
1850,1850,1850,1850,1850,
1109,1109,1109,1109,1109,
1290,1290,1290,1290,1290,
1842,1842,1842,1842,1842,
1035,1035,1035,1035,1035,
625,625,625,625,625,
709,709,709,709,709,
4095,4095,4095,4095,4095,
1360,1360,1360,1360,1360,
4095,4095,4095,4095,4095,
1264,1264,1264,1264,1264,
4095,4095,4095,4095,4095,
4095,4095,4095,4095,4095,
4095,4095,4095,4095,4095,
969,969,969,969,969,
906,906,906,906,906,
1195,1195,1195,1195,1195,
4095,4095,4095,4095,4095,
1553,1553,1553,1553,1553,
941,941,941,941,941,
1954,1954,1954,1954,1954,
1243,1243,1243,1243,1243,
1383,1383,1383,1383,1383,
1025,1025,1025,1025,1025,
1623,1623,1623,1623,1623,
1686,1686,1686,1686,1686,
605,605,605,605,605,
4095,4095,4095,4095,4095,
1818,1818,1818,1818,1818,
1162,1162,1162,1162,1162,
1410,1410,1410,1410,1410,
1112,1112,1112,1112,1112,
772,772,772,772,772,
1991,1991,1991,1991,1991,
1187,1187,1187,1187,1187,
1783,1783,1783,1783,1783,
1787,1787,1787,1787,1787,
1490,1490,1490,1490,1490,
1681,1681,1681,1681,1681,
4095,4095,4095,4095,4095,
1617,1617,1617,1617,1617,
4095,4095,4095,4095,4095,
4095,4095,4095,4095,4095,
1545,1545,1545,1545,1545,
1944,1944,1944,1944,1944,
1640,1640,1640,1640,1640,
1674,1674,1674,1674,1674,
1491,1491,1491,1491,1491,
1919,1919,1919,1919,1919,
784,784,784,784,784,
1147,1147,1147,1147,1147,
621,621,621,621,621,
1953,1953,1953,1953,1953,
542,542,542,542,542,
4095,4095,4095,4095,4095,
733,733,733,733,733,
935,935,935,935,935,
957,957,957,957,957,
1405,1405,1405,1405,1405,
4095,4095,4095,4095,4095,
944,944,944,944,944,
1076,1076,1076,1076,1076,
